date,heat,label,coverage,m_global_fund,m_china_liquidity,m_china_macro,m_ashare_fund,m_risk_appetite,m_tech_cycle,m_tech_valuation
2020-01-02,-69.7,极冷,0.6667,0.5312,-0.5801,0.3122,0.3666,-0.4244,,-0.9977
2020-01-03,69.8,极热,0.6667,0.525,0.5881,0.3075,0.8141,-0.485,,-0.8156
2020-01-06,-11.1,偏冷,0.6667,0.5413,0.4862,-0.3712,0.465,-0.3661,,-0.7853
2020-01-07,89.2,极热,0.6667,0.4414,0.5546,-0.3712,0.8112,0.6895,,-0.6849
2020-01-08,64.9,极热,0.6667,0.3689,0.3829,-0.3712,0.4866,0.5265,,-0.5884
2020-01-09,60.8,极热,0.6667,0.3777,0.2484,0.6509,0.6455,-0.6261,,-0.5339
2020-01-10,10.0,中性,0.6667,0.5889,-0.218,0.56,0.4753,-0.7353,,-0.4864
2020-01-13,57.8,偏热,0.625,0.3606,0.2661,0.5454,0.4358,-0.472,,-0.4442
2020-01-14,97.5,极热,0.625,0.5724,0.319,0.4982,0.483,0.5756,,-0.4062
2020-01-15,15.2,微暖,0.625,0.5121,-0.5619,0.4553,0.4823,-0.3032,,-0.3712
2020-01-16,98.8,极热,0.6667,0.4592,0.8976,0.4323,0.5456,0.3705,,-0.3387
2020-01-17,94.2,极热,0.6667,0.5946,0.6915,0.4132,0.4117,-0.1268,,-0.308
2020-01-20,82.9,极热,0.6667,0.586,0.6485,0.3971,0.3133,-0.4848,,-0.2785
2020-01-21,97.8,极热,0.6667,0.4853,0.576,0.3832,0.432,0.4679,,-0.2498
2020-01-22,98.8,极热,0.6667,0.5378,0.4904,0.3712,0.396,0.7802,,-0.2214
2020-01-23,83.9,极热,0.6667,0.5208,0.4527,0.3607,0.2882,-0.2422,,-0.1925
2020-02-03,-64.0,极冷,0.6667,-0.8104,0.4013,0.8338,0.6528,-0.7363,,-0.9486
2020-02-04,-94.2,极冷,0.6667,-0.6229,0.414,0.6851,-0.7149,-0.8408,,-0.6922
2020-02-05,67.0,极热,0.6667,0.5487,0.504,0.6572,0.8226,-0.8933,,-0.7216
2020-02-06,-35.7,冷,0.6667,0.5656,0.4323,0.5736,-0.501,-0.6631,,-0.6849
2020-02-07,64.4,极热,0.6667,0.5636,0.3323,0.4931,0.5368,-0.5265,,-0.5884
