月份,现金模型,轮动_新,轮动_旧,满仓科创50,轮动超额
2025-01,-0.006776,-0.016345,-0.015309,-0.000254,-0.016091
2025-02,0.109577,0.100014,0.099325,0.129525,-0.029511
2025-03,-0.029936,-0.034531,-0.040072,-0.051987,0.017456
2025-04,0.026068,0.035280,0.033657,-0.010068,0.045348
2025-05,-0.007400,-0.009416,-0.013176,-0.034956,0.025540
2025-06,0.022482,0.020839,0.024120,0.027007,-0.006168
2025-07,0.033467,0.030272,0.028196,0.044305,-0.014033
2025-08,0.205402,0.221955,0.222925,0.280036,-0.058081
2025-09,0.106883,0.087760,0.089277,0.114796,-0.027036
2025-10,-0.055394,-0.022214,-0.018447,-0.053343,0.031128
2025-11,-0.029712,-0.025390,-0.014839,-0.062433,0.037043
2025-12,0.010614,0.003565,0.002102,0.012848,-0.009283
2026-01,0.096053,0.070395,0.076960,0.122900,-0.052505
2026-02,-0.018532,-0.020253,-0.020883,-0.014164,-0.006089
2026-03,-0.088427,-0.053787,-0.062468,-0.155707,0.101920
2026-04,0.176132,0.182109,0.179073,0.250522,-0.068413
2026-05,0.078446,0.123346,0.119160,0.114736,0.008610
2026-06,0.201237,0.247672,0.241877,0.260684,-0.013012
2026-07,-0.059289,0.068349,0.072576,-0.259030,0.327379
2026-08,0.022569,-0.002195,-0.015654,0.029600,-0.031795
2026-09,-0.011386,0.007888,-0.008280,-0.061938,0.069826
