date,open,high,low,close
2020-01-02,1007.061,1036.833,1007.061,1036.833
2020-01-03,1040.907,1051.456,1036.74,1043.8
2020-01-06,1037.692,1060.504,1037.414,1044.122
2020-01-07,1043.81,1048.833,1027.593,1048.833
2020-01-08,1042.16,1075.812,1041.221,1068.381
2020-01-09,1078.622,1094.484,1078.622,1091.943
2020-01-10,1096.104,1101.341,1085.127,1085.127
2020-01-13,1084.669,1132.524,1080.022,1132.524
2020-01-14,1132.621,1172.085,1130.551,1150.086
2020-01-15,1144.021,1155.57,1133.353,1149.369
2020-01-16,1150.273,1207.648,1150.273,1204.489
2020-01-17,1208.067,1331.152,1208.067,1316.288
2020-01-20,1311.262,1337.906,1264.19,1300.986
2020-01-21,1289.211,1311.218,1255.291,1255.291
2020-01-22,1232.51,1329.58,1208.701,1329.58
2020-01-23,1297.747,1363.925,1254.659,1291.5
2020-02-03,1076.612,1139.112,1060.262,1060.262
2020-02-04,1091.455,1192.191,1091.455,1192.191
2020-02-05,1210.09,1287.417,1210.09,1235.393
2020-02-06,1217.879,1278.899,1217.879,1265.373
2020-02-07,1261.272,1349.295,1255.323,1349.14
2020-02-10,1360.23,1403.265,1358.259,1391.514
2020-02-11,1382.869,1396.278,1343.356,1364.703
2020-02-12,1354.929,1435.379,1354.929,1416.089
2020-02-13,1418.142,1498.162,1418.142,1429.668
2020-02-14,1425.261,1447.297,1353.777,1379.835
2020-02-17,1385.172,1432.358,1385.172,1432.358
2020-02-18,1432.084,1467.041,1429.811,1452.893
2020-02-19,1451.621,1467.441,1425.925,1430.344
2020-02-20,1432.919,1443.792,1366.814,1394.649
2020-02-21,1380.712,1418.517,1380.712,1385.759
2020-02-24,1378.316,1402.828,1366.06,1392.387
2020-02-25,1349.55,1415.667,1349.55,1412.864
2020-02-26,1388.873,1407.443,1325.677,1329.096
2020-02-27,1332.696,1332.696,1277.412,1290.903
2020-02-28,1226.395,1254.12,1209.441,1214.444
2020-03-02,1230.133,1283.583,1221.287,1276.8
2020-03-03,1302.43,1362.119,1297.943,1312.318
2020-03-04,1292.76,1304.005,1246.971,1277.791
2020-03-05,1301.399,1304.161,1273.803,1292.53
2020-03-06,1273.234,1276.817,1260.103,1263.563
2020-03-09,1233.206,1245.499,1187.39,1187.39
2020-03-10,1162.777,1238.571,1149.651,1238.571
2020-03-11,1241.468,1255.367,1205.09,1205.09
2020-03-12,1180.975,1200.43,1175.081,1191.207
2020-03-13,1127.426,1222.971,1127.426,1206.746
2020-03-16,1219.867,1231.276,1148.03,1148.03
2020-03-17,1166.285,1177.381,1111.288,1164.48
2020-03-18,1180.791,1204.117,1144.366,1144.483
2020-03-19,1146.837,1163.831,1119.667,1157.41
2020-03-20,1169.54,1174.753,1143.221,1155.685
2020-03-23,1119.853,1122.246,1054.874,1058.993
2020-03-24,1087.375,1089.752,1031.677,1078.232
2020-03-25,1118.216,1132.352,1114.789,1119.941
2020-03-26,1112.423,1130.515,1108.581,1110.94
2020-03-27,1126.303,1129.075,1102.336,1105.643
2020-03-30,1079.848,1079.848,1041.951,1059.132
2020-03-31,1074.752,1083.725,1057.801,1060.901
