窗口,配置,累计,年化,波动,最大回撤,Calmar,夏普,索提诺,平均仓位,换手
2025+,A6 暴露×1.20 上限100%,1.7948106496520624,0.8407202635164863,0.2804636232081422,-0.1475450579598674,5.698057767174841,2.3176229678437807,3.761353462879542,0.7747793679670342,35.04117452280016
2025+,A7 暴露×1.30 上限100%,1.749256931201486,0.8228490491701432,0.2821665001934958,-0.14833311811594463,5.547305009303207,2.2706967945841625,3.668993179608,0.7848166642091166,34.06917440432769
2025+,基准（现状）,1.7185116228562403,0.8107192662584897,0.25638949441799697,-0.14226585282933335,5.6986216308073345,2.4458478762531026,4.039403288562588,0.6943624077335214,36.259131432495
2025+,A1 暴露×1.05,1.7157376801518924,0.8096221428413688,0.2598241378976018,-0.1462761962287017,5.534886493599621,2.414563033494932,3.983919940724228,0.7051946950569415,36.02134648336033
2025+,S1 平滑后×1.05,1.7056663957400922,0.8056350109251902,0.26036378493368856,-0.14136301654009842,5.699050788836725,2.4016152063006433,3.9537750147442368,0.7175773261426907,34.438944511469174
2025+,S2 平滑后×1.10,1.693807518365785,0.8009324476552868,0.264883075048115,-0.14182213217426565,5.647443282485206,2.3552666930951105,3.854533705451889,0.7406125479726346,32.77528755593309
2025+,A2 暴露×1.10,1.689620814692764,0.7992702284375128,0.2609815169839279,-0.14721945885680887,5.429107229737308,2.3829979341034737,3.9137182301225417,0.7116223596619978,35.712692715340346
2025+,AB4 ×1.30 上限100% + 波动25%,1.683638093139753,0.7968931224030951,0.23867005588057547,-0.14610151097853086,5.45437974642298,2.5768895255281263,4.370900803118713,0.6873324418992599,35.76433573347184
2025+,A3 暴露×1.15,1.6816447199688107,0.7961006202191465,0.26223851766194667,-0.1479671708451803,5.380251684693736,2.366087930182014,3.8808611547302343,0.7174775067145778,34.9360022637962
2025+,A4 暴露×1.20,1.6700480296877425,0.7914853869921672,0.26422344128596303,-0.14724765132339868,5.375198720513599,2.3405250074718986,3.833518949387043,0.7249727783449307,34.00104954075992
2025+,A5 暴露×1.30,1.6374968910718595,0.7784870169794555,0.26606965914696595,-0.14626491375294526,5.322445397222127,2.298724967670297,3.745377616177077,0.7366012453824607,33.48117088444812
2025+,S3 平滑后×1.20,1.6326207278185514,0.7765342599113798,0.2721273738522419,-0.15119671516688682,5.135920175608736,2.2494672335351518,3.6556782096336304,0.7677597964217332,28.571675707975267
