date,signal_state,open,high,close,ops,shares,cash,equity,pos
2020-01-02,无信号,1005.617,1019.91,1019.723,起始日（无信号）,0.0,1.0,1.0,0.0
2020-01-03,无信号,1021.669,1029.071,1024.482,（无操作）,0.0,1.0,1.0,0.0
2020-01-06,无信号,1019.999,1040.14,1027.277,（无操作）,0.0,1.0,1.0,0.0
2020-01-07,无信号,1025.663,1043.083,1043.083,（无操作）,0.0,1.0,1.0,0.0
2020-01-08,无信号,1035.836,1059.436,1051.16,（无操作）,0.0,1.0,1.0,0.0
2020-01-09,无信号,1060.58,1081.404,1078.312,（无操作）,0.0,1.0,1.0,0.0
2020-01-10,无信号,1082.31,1088.543,1076.438,（无操作）,0.0,1.0,1.0,0.0
2020-01-13,无信号,1076.762,1105.848,1105.848,（无操作）,0.0,1.0,1.0,0.0
2020-01-14,无信号,1107.776,1133.899,1118.306,（无操作）,0.0,1.0,1.0,0.0
2020-01-15,无信号,1113.252,1120.346,1114.766,（无操作）,0.0,1.0,1.0,0.0
2020-01-16,无信号,1116.508,1161.477,1154.303,（无操作）,0.0,1.0,1.0,0.0
2020-01-17,偏强,1159.372,1252.556,1238.664,开盘买入2成 @ 1159.372（持仓 20%）,0.00017242097443703356,0.8,1.0135716538800739,0.21071194430358803
2020-01-20,偏强,1239.439,1270.359,1240.509,开盘买入2成 @ 1239.439（持仓 41%）,0.0003358925323466062,0.5972856692239853,1.0139633786327416,0.4109396041212226
2020-01-21,偏强,1233.646,1247.841,1195.014,开盘买入2成 @ 1233.646（持仓 61%）,0.0005001952010712789,0.39449299349743694,0.9922332615104302,0.6024190996208707
2020-01-22,偏强,1178.784,1247.61,1244.525,开盘买入2成 @ 1178.784（持仓 79%）,0.0006684596825732375,0.1960463411953509,1.0279611276498093,0.8092862308484713
2020-01-23,偏强,1219.233,1262.436,1202.102,开盘买入2成 @ 1219.233（持仓 98%）,0.000829093820421335,9.797418350587783e-05,0.9967533138996335,0.9999017066889674
2020-02-03,偏强,1018.276,1082.789,1030.55,开盘买入2成 @ 1018.276（持仓 85%）,0.0008291899400222624,4.8962610447702204e-08,0.8545217416525529,0.9999999427017383
2020-02-04,偏强,1049.956,1153.232,1153.232,开盘买入2成：无空余仓位，不动,0.0008291899400222624,4.8962610447702204e-08,0.9562484218743641,0.9999999487971857
2020-02-05,偏强,1166.973,1240.368,1203.613,开盘买入2成：无空余仓位，不动,0.0008291899400222624,4.8962610447702204e-08,0.9980238402426258,0.99999995094044
2020-02-06,偏强,1191.731,1251.843,1238.757,开盘买入2成 @ 1191.731（持仓 99%）,0.0008291899810664952,2.446907068850731e-11,1.0271648934004576,0.9999999999761781
2020-02-07,偏强,1240.038,1307.757,1307.757,开盘买入2成：现金不足，不动,0.0008291899810664952,2.446907068850731e-11,1.0843790020940458,0.9999999999774349
2020-02-10,偏强,1310.526,1336.526,1322.25,开盘买入2成：现金不足，不动,0.0008291899810664952,2.446907068850731e-11,1.0963964524896423,0.9999999999776823
2020-02-11,偏强,1318.42,1318.42,1283.572,开盘买入2成：现金不足，不动,0.0008291899810664952,2.446907068850731e-11,1.0643250424019524,0.9999999999770097
2020-02-12,偏强,1274.796,1360.549,1348.702,开盘买入2成：现金不足，不动,0.0008291899810664952,2.446907068850731e-11,1.1183301858688133,0.99999999997812
2020-02-13,偏强,1360.129,1409.684,1360.709,开盘买入2成：现金不足，不动,0.0008291899810664952,2.446907068850731e-11,1.1282862699714789,0.999999999978313
2020-02-14,偏强,1359.373,1382.955,1327.224,开盘买入2成：现金不足，不动,0.0008291899810664952,2.446907068850731e-11,1.1005208434554672,0.9999999999777659
2020-02-17,偏强,1332.965,1381.553,1381.553,开盘买入2成：现金不足，不动,0.0008291899810664952,2.446907068850731e-11,1.145569905936829,0.9999999999786402
2020-02-18,中性,1381.583,1404.712,1399.384,冲高(+1%)卖出剩余50% @ 1395.399,0.0004145949905332476,0.578236102056067,1.1584136982884452,0.5008379969000625
2020-02-19,偏强,1398.781,1412.169,1373.444,开盘买入2成 @ 1398.781（持仓 70%）,0.0005801441052120996,0.346553362398378,1.1433488028373047,0.6968962039069967
2020-02-20,偏强,1377.756,1390.019,1348.338,开盘买入2成 @ 1377.756（持仓 90%）,0.0007460337713257278,0.11788360183091703,1.1237892849927062,0.8951016855159977
2020-02-21,偏强,1337.557,1373.667,1346.863,开盘买入2成 @ 1337.557（持仓 99%）,0.000834079220291927,5.891234474306173e-05,1.1234493532247887,0.9999475611921678
2020-02-24,偏强,1341.988,1359.227,1351.71,开盘买入2成 @ 1341.988（持仓 100%）,0.0008341230757336695,2.9441451645694698e-08,1.1274925321414102,0.9999999738876747
2020-02-25,中性,1312.479,1371.576,1367.368,冲高(+1%)卖出剩余50% @ 1325.604,0.00041706153786683477,0.5525819555233267,1.1228585564332247,0.5078792851001549
2020-02-26,偏强,1348.075,1361.006,1288.242,开盘买入2成 @ 1348.075（持仓 70%）,0.0005835652424425238,0.3280102442366817,1.0797834992913233,0.6962259152395279
2020-02-27,偏强,1293.187,1293.187,1264.941,开盘买入2成 @ 1293.187（持仓 90%）,0.0007504775107150393,0.112053544378417,1.0613633172598096,0.8944248943258065
2020-02-28,偏强,1206.858,1231.094,1191.055,开盘买入2成 @ 1206.858（持仓 96%）,0.0008432320641241439,5.599877280279553e-05,1.004391764908185,0.9999442460852833
2020-03-02,偏强,1202.959,1259.076,1252.624,开盘买入2成：无空余仓位，不动,0.0008432320641241439,5.599877280279553e-05,1.0563087198642445,0.9999469863575394
2020-03-03,偏强,1278.269,1332.835,1285.034,开盘买入2成：无空余仓位，不动,0.0008432320641241439,5.599877280279553e-05,1.083637871062508,0.999948323352018
2020-03-04,偏强,1268.834,1277.686,1255.723,开盘买入2成 @ 1268.834（持仓 99%）,0.0008432761540649881,2.798539370454532e-08,1.0589212899963427,0.9999999735717904
2020-03-05,偏强,1277.706,1277.706,1264.788,开盘买入2成：无空余仓位，不动,0.0008432761540649881,2.798539370454532e-08,1.066565588332942,0.999999973761207
2020-03-06,偏强,1246.096,1255.074,1243.373,开盘买入2成 @ 1246.096（持仓 99%）,0.0008432761765010037,1.398570400026834e-11,1.0485068294185682,0.9999999999866613
2020-03-09,偏强,1216.035,1223.246,1171.859,开盘买入2成：现金不足，不动,0.0008432761765010037,1.398570400026834e-11,0.9882007769322754,0.9999999999858473
2020-03-10,中性,1148.397,1216.328,1216.328,冲高(+1%)卖出剩余50% @ 1159.881,0.00042163808825050185,0.4888054698055289,1.0016556824110854,0.5120024990734088
2020-03-11,中性,1218.516,1233.426,1184.71,冲高(+1%)卖出剩余50% @ 1230.701,0.00021081904412525093,0.748130984339489,0.997890414105115,0.25028743260311254
2020-03-12,中性,1161.922,1177.36,1167.065,冲高(+1%)卖出剩余50% @ 1173.541,0.00010540952206262546,0.871771552250919,0.9947913161169369,0.1236638899766563
2020-03-13,中性,1103.956,1187.701,1175.282,冲高(+1%)卖出剩余50% @ 1114.996,5.270476103131273e-05,0.9305077440044233,0.9924507009588266,0.06241413996136931
2020-03-16,中性,1188.078,1200.464,1115.084,冲高(+1%)卖出剩余50% @ 1199.959,2.6352380515656366e-05,0.9621137034928993,0.9914988213678194,0.029637067883128705
2020-03-17,中性,1132.949,1141.388,1131.547,（无操作）,2.6352380515656366e-05,0.9621137034928993,0.9919326606082487,0.03006147322245097
2020-03-18,中性,1145.302,1173.234,1115.019,冲高(+1%)卖出剩余50% @ 1156.755,1.3176190257828183e-05,0.9773477069060045,0.9920394093910978,0.014809595612850621
2020-03-19,中性,1116.263,1133.695,1128.973,冲高(+1%)卖出剩余50% @ 1127.426,6.5880951289140915e-06,0.9847715804135697,0.9922093619355452,0.00749618155937002
2020-03-20,中性,1140.092,1148.09,1127.369,（无操作）,6.5880951289140915e-06,0.9847715804135697,0.9921987946309585,0.007485611006160566
2020-03-23,中性,1092.501,1096.4,1039.884,（无操作）,6.5880951289140915e-06,0.9847715804135697,0.9916224351286054,0.006908733074546867
2020-03-24,中性,1067.014,1071.34,1060.843,（无操作）,6.5880951289140915e-06,0.9847715804135697,0.9917605150144123,0.007046998237009918
2020-03-25,中性,1097.309,1110.099,1101.319,冲高(+1%)卖出剩余50% @ 1108.282,3.2940475644570457e-06,0.988420488965906,0.9920482861355462,0.0036568755980337367
2020-03-26,中性,1093.331,1111.484,1095.338,冲高(+1%)卖出剩余50% @ 1104.264,1.6470237822285229e-06,0.9902383291715519,0.9920423769071305,0.0018185188229590224
2020-03-27,中性,1109.542,1110.537,1084.505,（无操作）,1.6470237822285229e-06,0.9902383291715519,0.9920245346984976,0.0018005658776258182
2020-03-30,中性,1062.899,1062.899,1035.827,（无操作）,1.6470237822285229e-06,0.9902383291715519,0.9919443608748263,0.0017198864881592978
2020-03-31,中性,1048.736,1055.268,1029.749,（无操作）,1.6470237822285229e-06,0.9902383291715519,0.9919343502642779,0.0017098118361100953
2020-04-01,中性,1026.575,1060.708,1037.927,冲高(+1%)卖出剩余50% @ 1036.841,8.235118911142614e-07,0.9910917529330253,0.9919464981596339,0.0008616848067858171
2020-04-02,中性,1033.559,1094.826,1094.826,冲高(+1%)卖出剩余50% @ 1043.895,4.117559455571307e-07,0.9915213678220908,0.9919721689369413,0.0004544493575194126
2020-04-03,中性,1089.242,1095.311,1080.53,（无操作）,4.117559455571307e-07,0.9915213678220908,0.9919662824739436,0.00044851791811233583
2020-04-07,中性,1109.611,1117.789,1111.654,（无操作）,4.117559455571307e-07,0.9915213678220908,0.9919790979659932,0.00046143123866311384
2020-04-08,偏强,1104.955,1117.806,1104.145,开盘买入2成 @ 1104.955（持仓 20%）,0.00017987306546275,0.7931255482288921,0.9917314940942603,0.20026181183925512
2020-04-09,偏强,1107.474,1110.06,1101.281,开盘买入2成 @ 1107.474（持仓 40%）,0.00035888148934560095,0.5947792494100401,0.9900086148780529,0.39921810732596125
2020-04-10,偏强,1100.368,1100.368,1058.44,开盘买入2成 @ 1100.368（持仓 60%）,0.0005387329313993645,0.39677752643442954,0.966994010344773,0.5896794373183738
2020-04-13,中性,1048.206,1052.006,1042.145,（无操作）,0.0005387329313993645,0.39677752643442954,0.9582153572276203,0.585920301275054
2020-04-14,偏强,1049.212,1073.217,1073.217,开盘买入2成 @ 1049.212（持仓 79%）,0.0007212959384909969,0.20513445498890548,0.9792415182083978,0.7905169958845131
2020-04-15,偏强,1076.941,1101.674,1088.203,开盘买入2成 @ 1076.941（持仓 99%）,0.0009030611683666037,0.00928615134722588,0.992000023947269,0.990638960561437
2020-04-16,偏强,1080.873,1097.198,1091.933,开盘买入2成 @ 1080.873（持仓 99%）,0.0009116439270772496,4.64075529596486e-06,0.9954587289805383,0.9999953380736329
2020-04-17,偏强,1102.657,1129.12,1117.07,开盘买入2成：无空余仓位，不动,0.0009116439270772496,4.64075529596486e-06,1.018374722375479,0.9999954429787051
2020-04-20,偏强,1119.259,1133.361,1133.361,开盘买入2成：无空余仓位，不动,0.0009116439270772496,4.64075529596486e-06,1.0332263135914947,0.9999955084813124
2020-04-21,中性,1127.658,1127.658,1119.229,（无操作）,0.0009116439270772496,4.64075529596486e-06,1.0203429616140391,0.9999954517691888
2020-04-22,偏强,1108.683,1135.849,1135.849,开盘买入2成 @ 1108.683（持仓 99%）,0.000911648108721614,2.3192180389626743e-09,1.0354945949625545,0.99999999776028
2020-04-23,偏强,1140.801,1157.869,1149.716,开盘买入2成：无空余仓位，不动,0.000911648108721614,2.3192180389626743e-09,1.048136419286197,0.9999999977872939
2020-04-24,偏强,1148.59,1155.543,1144.153,开盘买入2成 @ 1148.590（持仓 100%）,0.0009116481107387834,1.15902950472855e-12,1.0430649208472704,0.9999999999988888
2020-04-27,中性,1140.194,1145.748,1138.1,（无操作）,0.0009116481107387834,1.15902950472855e-12,1.0375467148329685,0.9999999999988829
2020-04-28,中性,1130.615,1130.615,1113.513,（无操作）,0.0009116481107387834,1.15902950472855e-12,1.015132022734234,0.9999999999988582
2020-04-29,中性,1105.6,1125.193,1102.698,冲高(+1%)卖出剩余50% @ 1116.656,0.0004558240553693917,0.5087441670405363,1.0113804412482539,0.49698041776184615
2020-04-30,偏强,1107.426,1171.8,1166.348,开盘买入2成 @ 1107.426（持仓 70%）,0.000638387044453336,0.3064680787908855,1.051049531314945,0.7084170920018679
2020-05-06,偏强,1155.117,1252.754,1247.513,开盘买入2成 @ 1155.117（持仓 90%）,0.0008202775835381828,0.09625817252789645,1.1195651216003655,0.9140218191235719
2020-05-07,中性,1249.636,1249.636,1224.105,（无操作）,0.0008202775835381828,0.09625817252789645,1.1003640639249037,0.9125215229361892
2020-05-08,中性,1230.907,1272.625,1240.246,冲高(+1%)卖出剩余50% @ 1243.216,0.0004101387917690914,0.6058943638171858,1.1145673597536343,0.4563860510403664
2020-05-11,中性,1244.303,1268.077,1226.061,冲高(+1%)卖出剩余50% @ 1256.746,0.0002050693958845457,0.8634856528950108,1.1149132414826128,0.22551314239774686
2020-05-12,中性,1222.387,1233.639,1233.592,（无操作）,0.0002050693958845457,0.8634856528950108,1.1164576191030193,0.22658447743968144
2020-05-13,偏强,1227.722,1252.578,1247.034,开盘买入2成 @ 1227.722（持仓 43%）,0.0003868531660325736,0.6401941290744069,1.1226131801246713,0.42972865417159056
2020-05-14,中性,1241.844,1258.254,1242.169,冲高(+1%)卖出剩余50% @ 1254.262,0.0001934265830162868,0.8826805232002899,1.1229490283990478,0.2139620758577983
2020-05-15,中性,1244.741,1280.05,1270.481,冲高(+1%)卖出剩余50% @ 1257.188,9.67132915081434e-05,1.0042065589626907,1.1270789582712482,0.1090184484475013
2020-05-18,中性,1279.29,1279.29,1254.299,（无操作）,9.67132915081434e-05,1.0042065589626907,1.1255139437880635,0.10777954861855996
2020-05-19,中性,1260.221,1324.418,1324.418,冲高(+1%)卖出剩余50% @ 1272.823,4.83566457540717e-05,1.0657252453056845,1.1297696573620006,0.056688026306051714
2020-05-20,中性,1317.404,1348.577,1306.998,冲高(+1%)卖出剩余50% @ 1330.578,2.417832287703585e-05,1.097880305197166,1.129481324840806,0.027978346298106423
2020-05-21,偏强,1305.912,1309.505,1251.931,开盘买入2成 @ 1305.912（持仓 23%）,0.00019707157547102416,0.8719840402290047,1.1187040547800193,0.2205409138340251
2020-05-22,偏强,1247.605,1258.314,1230.659,开盘买入2成 @ 1247.605（持仓 42%）,0.00037631820918744476,0.6482432292730008,1.1113626202734124,0.4167131254481792
2020-05-25,偏强,1223.866,1227.559,1212.087,开盘买入2成 @ 1223.866（持仓 61%）,0.0005578425291154565,0.42597070521831837,1.1021243828062848,0.6135003345686898
2020-05-26,中性,1217.622,1272.92,1272.661,冲高(+1%)卖出剩余50% @ 1229.798,0.00027892126455772827,0.7688160714542251,1.1237882869275282,0.3158710760759111
2020-05-27,中性,1271.457,1281.205,1253.272,（无操作）,0.00027892126455772827,0.7688160714542251,1.1183802825290183,0.31256292384225143
2020-05-28,中性,1251.059,1256.218,1232.22,（无操作）,0.00027892126455772827,0.7688160714542251,1.1125084320675491,0.30893461182544607
2020-05-29,中性,1227.2,1267.427,1246.111,冲高(+1%)卖出剩余50% @ 1239.472,0.00013946063227886414,0.9415871914917675,1.1153706194414152,0.15580778704452475
2020-06-01,偏强,1257.966,1309.96,1300.741,开盘买入2成 @ 1257.966（持仓 36%）,0.00031670122746744605,0.7185130676034844,1.1304593389207176,0.36440609328817636
2020-06-02,偏强,1305.797,1312.516,1305.637,开盘买入2成 @ 1305.797（持仓 57%）,0.0004897594274364848,0.4924211998193409,1.1318692293792307,0.564948682199438
2020-06-03,偏强,1305.734,1314.144,1294.28,开盘买入2成 @ 1305.734（持仓 76%）,0.0006630418230224826,0.26604735394349477,1.1242091246450334,0.7633470960952229
2020-06-04,偏强,1295.155,1306.067,1299.803,开盘买入2成 @ 1295.155（持仓 96%）,0.0008365573174605285,0.04120552901448807,1.1285652399216355,0.9634885715447435
2020-06-05,偏强,1300.254,1307.887,1297.306,开盘买入2成 @ 1300.254（持仓 100%）,0.0008679418298292202,0.0003772873501745322,1.126363430838601,0.9996650394181443
2020-06-08,偏强,1306.497,1311.682,1280.053,开盘买入2成：无空余仓位，不动,0.0008679418298292202,0.0003772873501745322,1.1113888304485575,0.9996605262354289
2020-06-09,偏强,1277.447,1278.852,1278.507,开盘买入2成 @ 1277.447（持仓 100%）,0.0008682368795225549,1.8854940038708773e-07,1.1100471166771435,0.9999998301428854
2020-06-10,偏强,1278.074,1278.074,1269.978,开盘买入2成 @ 1278.074（持仓 100%）,0.0008682370269013391,9.422758640033064e-11,1.1026419230443365,0.9999999999145439
2020-06-11,偏强,1270.724,1294.34,1273.59,开盘买入2成：现金不足，不动,0.0008682370269013391,9.422758640033064e-11,1.105777995185504,0.9999999999147863
2020-06-12,偏强,1246.803,1268.46,1262.29,开盘买入2成：现金不足，不动,0.0008682370269013391,9.422758640033064e-11,1.095966916781519,0.9999999999140234
2020-06-15,偏强,1262.476,1271.905,1249.909,开盘买入2成：现金不足，不动,0.0008682370269013391,9.422758640033064e-11,1.0852172741514534,0.9999999999131718
2020-06-16,偏强,1259.086,1289.135,1289.135,开盘买入2成：现金不足，不动,0.0008682370269013391,9.422758640033064e-11,1.1192747397686853,0.9999999999158138
2020-06-17,偏强,1291.035,1299.777,1291.117,开盘买入2成：现金不足，不动,0.0008682370269013391,9.422758640033064e-11,1.1209955855560036,0.999999999915943
2020-06-18,偏强,1289.765,1304.486,1302.371,开盘买入2成：现金不足，不动,0.0008682370269013391,9.422758640033064e-11,1.1307667250567515,0.9999999999166693
2020-06-19,偏强,1301.021,1329.202,1325.147,开盘买入2成：现金不足，不动,0.0008682370269013391,9.422758640033064e-11,1.1505416915814564,0.9999999999181016
