date,score,conf,eff_cap,open,high,low,close,ops,shares,cash,equity,pos
2020-01-02,-19.6,18.2,0.054599999999999996,1005.617,1019.91,1005.617,1019.723,（无操作）,0.0,1.0,1.0,0.0
2020-01-03,10.2,40.6,0.24360000000000004,1021.669,1029.071,1018.681,1024.482,（无操作）,0.0,1.0,1.0,0.0
2020-01-06,-9.5,15.6,0.078,1019.999,1040.14,1019.999,1027.277,（无操作）,0.0,1.0,1.0,0.0
2020-01-07,33.1,42.7,0.29890000000000005,1025.663,1043.083,1019.858,1043.083,"开盘加仓2成(Score+33,Δ+43,隔夜确认)",0.00019489837302799507,0.8,1.0032951796331602,0.20262748566926436
2020-01-08,0.1,18.2,0.091,1035.836,1059.436,1034.513,1051.16,战略上限0.9成：开盘减1.1成,8.801714784219528e-05,0.9106560650611724,1.0031761701869744,0.09222717591921854
2020-01-09,-15.8,5.2,0.015600000000000003,1060.58,1081.404,1060.58,1078.312,战略上限0.2成：开盘减0.8成,1.4767846415005483e-05,0.9883039657967675,1.0042283118002249,0.015857296409927633
2020-01-10,8.0,20.6,0.10300000000000001,1082.31,1088.543,1076.438,1076.438,（无操作）,1.4767846415005483e-05,0.9883039657967675,1.0042006368560432,0.01583017424590076
2020-01-13,-1.6,25.5,0.1275,1076.762,1105.848,1069.779,1105.848,冲高(+2%)减1.5成(价格强于环境),0.0,1.0045153410126328,1.0045153410126328,0.0
2020-01-14,28.2,51.1,0.30660000000000004,1107.776,1133.899,1107.776,1118.306,冲高回落企稳加1.5成,0.00013466975957548204,0.8538380398607379,1.004440040012557,0.14993627708224003
2020-01-15,5.4,24.5,0.12250000000000001,1113.252,1120.346,1105.575,1114.766,战略上限1.2成：开盘减0.3成,0.00011045165769595623,0.880785409789147,1.0039131624322373,0.12264781183342768
2020-01-16,38.2,49.3,0.34509999999999996,1116.508,1161.477,1116.508,1154.303,"开盘加仓2成(Score+38,Δ+33,隔夜确认)；冲高(+3%)防守减1.5成；冲高回落企稳加1.5成",0.00028967406112088756,0.6798889880274669,1.0142606258014908,0.32967033252404543
2020-01-17,2.4,55.8,0.279,1159.372,1252.556,1159.372,1238.664,战略上限2.8成：开盘减0.5成；冲高(+3%)防守减1.5成,0.00011684488652989058,0.8845975392523275,1.029329093780988,0.14060765930264782
2020-01-20,-11.7,34.6,0.1038,1239.439,1270.359,1208.69,1240.509,战略上限1.0成：开盘减0.4成；冲高(+2%)减1.5成(价格强于环境),0.0,1.0314832441662227,1.0314832441662227,0.0
2020-01-21,26.1,54.4,0.32639999999999997,1233.646,1247.841,1194.797,1195.014,（无操作）,0.0,1.0314832441662227,1.0314832441662227,0.0
2020-01-22,37.9,42.2,0.2954,1178.784,1247.61,1157.29,1244.525,"开盘加仓2成(Score+38,Δ+12,隔夜确认)；冲高(+3%)防守减1.5成",4.748753429401978e-05,0.979831720714599,1.038931144331864,0.05688483201191526
2020-01-23,4.0,42.8,0.21400000000000002,1219.233,1262.436,1177.094,1202.102,冲高(+3%)防守减1.5成,0.0,1.0394372230215132,1.0394372230215132,0.0
2020-02-03,-32.5,14.1,0.014099999999999998,1018.276,1082.789,1015.597,1030.55,（无操作）,0.0,1.0394372230215132,1.0394372230215132,0.0
2020-02-04,-26.9,32.3,0.09689999999999999,1049.956,1153.232,1049.956,1153.232,（无操作）,0.0,1.0394372230215132,1.0394372230215132,0.0
2020-02-05,-1.9,4.4,0.022,1166.973,1240.368,1166.973,1203.613,（无操作）,0.0,1.0394372230215132,1.0394372230215132,0.0
2020-02-06,-6.8,7.3,0.0365,1191.731,1251.843,1191.731,1238.757,（无操作）,0.0,1.0394372230215132,1.0394372230215132,0.0
2020-02-07,-6.6,9.9,0.0495,1240.038,1307.757,1234.234,1307.757,（无操作）,0.0,1.0394372230215132,1.0394372230215132,0.0
2020-02-10,-2.5,10.2,0.051000000000000004,1310.526,1336.526,1293.43,1322.25,（无操作）,0.0,1.0394372230215132,1.0394372230215132,0.0
2020-02-11,-5.9,23.7,0.11850000000000001,1318.42,1318.42,1266.214,1283.572,（无操作）,0.0,1.0394372230215132,1.0394372230215132,0.0
2020-02-12,-17.9,3.6,0.0108,1274.796,1360.549,1274.796,1348.702,（无操作）,0.0,1.0394372230215132,1.0394372230215132,0.0
2020-02-13,-5.2,17.7,0.0885,1360.129,1409.684,1353.045,1360.709,（无操作）,0.0,1.0394372230215132,1.0394372230215132,0.0
2020-02-14,-9.7,13.0,0.065,1359.373,1382.955,1305.974,1327.224,（无操作）,0.0,1.0394372230215132,1.0394372230215132,0.0
2020-02-17,-21.8,23.5,0.0705,1332.965,1381.553,1332.965,1381.553,（无操作）,0.0,1.0394372230215132,1.0394372230215132,0.0
2020-02-18,-4.6,3.3,0.0165,1381.583,1404.712,1372.526,1399.384,（无操作）,0.0,1.0394372230215132,1.0394372230215132,0.0
2020-02-19,-9.1,12.4,0.062,1398.781,1412.169,1373.444,1373.444,（无操作）,0.0,1.0394372230215132,1.0394372230215132,0.0
2020-02-20,-6.4,2.5,0.0125,1377.756,1390.019,1321.734,1348.338,（无操作）,0.0,1.0394372230215132,1.0394372230215132,0.0
2020-02-21,-16.2,21.4,0.0642,1337.557,1373.667,1337.557,1346.863,（无操作）,0.0,1.0394372230215132,1.0394372230215132,0.0
2020-02-24,3.8,3.1,0.0155,1341.988,1359.227,1328.747,1351.71,（无操作）,0.0,1.0394372230215132,1.0394372230215132,0.0
2020-02-25,-5.6,3.6,0.018,1312.479,1371.576,1312.479,1367.368,（无操作）,0.0,1.0394372230215132,1.0394372230215132,0.0
2020-02-26,1.0,0.6,0.003,1348.075,1361.006,1286.345,1288.242,（无操作）,0.0,1.0394372230215132,1.0394372230215132,0.0
2020-02-27,-4.6,4.0,0.02,1293.187,1293.187,1251.451,1264.941,（无操作）,0.0,1.0394372230215132,1.0394372230215132,0.0
2020-02-28,24.1,4.4,0.0264,1206.858,1231.094,1187.096,1191.055,（无操作）,0.0,1.0394372230215132,1.0394372230215132,0.0
2020-03-02,-24.8,36.7,0.1101,1202.959,1259.076,1194.937,1252.624,（无操作）,0.0,1.0394372230215132,1.0394372230215132,0.0
2020-03-03,39.3,24.8,0.1736,1278.269,1332.835,1272.063,1285.034,"开盘加仓2成(Score+39,Δ+64,隔夜确认)；冲高(+3%)防守减1.5成",2.267266982724039e-05,1.0148285467664788,1.043963698365257,0.027908203747314942
2020-03-04,13.8,13.5,0.081,1268.834,1277.686,1226.802,1255.723,（无操作）,2.267266982724039e-05,1.0148285467664788,1.0432991397399507,0.02728900263501441
2020-03-05,26.5,27.8,0.1668,1277.706,1277.706,1246.714,1264.788,（无操作）,2.267266982724039e-05,1.0148285467664788,1.0435046674919346,0.027480586928641942
2020-03-06,12.6,9.9,0.05940000000000001,1246.096,1255.074,1237.623,1243.373,（无操作）,2.267266982724039e-05,1.0148285467664788,1.0430191322675841,0.027027869987214327
2020-03-09,-12.3,0.1,0.00030000000000000003,1216.035,1223.246,1171.859,1171.859,战略上限0.0成：开盘减0.3成,2.571634797073691e-07,1.0420729580076704,1.0423743173458369,0.0002891085602854636
2020-03-10,-2.9,8.7,0.0435,1148.397,1216.328,1135.209,1216.328,冲高(+2%)减1.5成(价格强于环境),0.0,1.0423740396755061,1.0423740396755061,0.0
2020-03-11,-2.9,39.1,0.1955,1218.516,1233.426,1184.71,1184.71,（无操作）,0.0,1.0423740396755061,1.0423740396755061,0.0
2020-03-12,-6.3,49.0,0.24500000000000002,1161.922,1177.36,1151.785,1167.065,（无操作）,0.0,1.0423740396755061,1.0423740396755061,0.0
2020-03-13,-27.6,74.3,0.22289999999999996,1103.956,1187.701,1103.956,1175.282,（无操作）,0.0,1.0423740396755061,1.0423740396755061,0.0
2020-03-16,18.6,21.4,0.1284,1188.078,1200.464,1115.084,1115.084,（无操作）,0.0,1.0423740396755061,1.0423740396755061,0.0
2020-03-17,-24.4,12.3,0.0369,1132.949,1141.388,1079.838,1131.547,（无操作）,0.0,1.0423740396755061,1.0423740396755061,0.0
