center,scale,rho,cw,sw,avg_pos,obj,累计收益,年化收益,年化波动,最大回撤,Calmar,平均仓位,换手率,操作日占比,基准累计,基准年化,基准最大回撤
0.3,55.0,0.2,0.1,0.1,0.18511388290528627,-1.1148563361964519,0.11183711287481635,0.016115713045358637,0.058116259063391996,-0.1649063823171133,0.09772643616890633,0.18511388290528627,52.425942904162696,0.9975293390982087,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,55.0,0.2,0.15,0.1,0.18841046366295774,-1.1259240161782291,0.11598366246951963,0.016686289036649482,0.05923031820361978,-0.16676828887168782,0.1000567263089686,0.18841046366295774,52.96130803895174,0.9956763434218654,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,55.0,0.2,0.2,0.1,0.1917181757959543,-1.137064351039089,0.12013228527052089,0.017255351467386104,0.06035304782514169,-0.16863350920428777,0.1023245708922682,0.1917181757959543,53.50014739521656,0.9975293390982087,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,45.0,0.2,0.1,0.1,0.18900388986527464,-1.1446022248755807,0.13667634564938203,0.01950703136008136,0.06073848445782588,-0.1630347243888599,0.11964954970914324,0.18900388986527464,54.12959470206161,0.9981470043236566,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,55.0,0.2,0.1,0.2,0.19574880520984633,-1.1488944094466444,0.12210351822029897,0.017525116494064852,0.06146259449442907,-0.17313905206293323,0.10121989398263978,0.19574880520984633,53.99249999546214,0.9975293390982087,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,45.0,0.2,0.15,0.1,0.19238421427783742,-1.1566610415564853,0.14110746422517062,0.020105388341200126,0.06192647495089751,-0.16488566782384895,0.12193533013845183,0.19238421427783742,54.71617979928804,0.9962940086473132,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,55.0,0.2,0.15,0.2,0.19924069694334687,-1.160142332776514,0.12653775724660732,0.018130478394157157,0.06264699337006396,-0.17507378999287615,0.10355906726469391,0.19924069694334687,54.536795808711645,0.9962940086473132,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,45.0,0.2,0.2,0.1,0.19578305077098151,-1.168713470809293,0.14559223251925957,0.020708984174763856,0.0631236105104385,-0.16670823560365688,0.12422292215963916,0.19578305077098151,55.30341685911142,0.9975293390982087,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,55.0,0.2,0.2,0.2,0.20274555814221698,-1.1714365485534866,0.13125148984228363,0.018771781963893508,0.06384282200412017,-0.17696472630888027,0.10607640491658546,0.20274555814221698,55.086298368147006,0.9975293390982087,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,55.0,0.2,0.1,0.1,0.21945833229733433,-1.180841214027089,0.12350410716408233,0.01771654392341726,0.06702141648577267,-0.19516453263403377,0.09077747726139744,0.21945833229733433,55.048774581674465,0.9950586781964176,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,45.0,0.2,0.1,0.2,0.1997790530382208,-1.181121986344196,0.14804042426783504,0.021037635117033604,0.06423916455697674,-0.17098017287979506,0.12304137235738898,0.1997790530382208,55.833476751066605,0.9956763434218654,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,55.0,0.2,0.1,0.3,0.2065309521052497,-1.1813241832865966,0.13409810584965598,0.01915796606948983,0.06486951931016746,-0.18119711460329424,0.10572997319208707,0.2065309521052497,55.49417960272196,0.9969116738727609,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,35.0,0.2,0.1,0.1,0.19609584054701587,-1.18990821767289,0.1729351875999845,0.024346201329461747,0.06497166280270351,-0.16135538676319938,0.150885581311218,0.19609584054701587,56.67883628103759,0.9975293390982087,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,55.0,0.2,0.15,0.1,0.22336486424202734,-1.1909577648881389,0.12809970185329833,0.018343233060791775,0.06828934983760382,-0.19740446709712656,0.09292207684320829,0.22336486424202734,55.529938220018366,0.9956763434218654,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,55.0,0.2,0.15,0.3,0.21021803688350654,-1.19280454520904,0.13909005333414193,0.019833211977095422,0.06612259136243728,-0.18316424363442496,0.10828102463426356,0.21021803688350654,56.05278176844613,1.0,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,45.0,0.2,0.15,0.2,0.20336564850682054,-1.1933498838184304,0.15297378659073968,0.02169809715003712,0.06550299129088616,-0.17280947308759442,0.12556080845775563,0.20336564850682054,56.43216222123351,0.9975293390982087,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,55.0,0.2,0.2,0.1,0.2273029389089914,-1.2010942261737791,0.13288161432051848,0.018993032461330328,0.06957786216309332,-0.19959585644514088,0.09515744865450441,0.2273029389089914,56.01446652062695,0.9956763434218654,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,35.0,0.2,0.15,0.1,0.1996649624289907,-1.20295745823151,0.17799918129625403,0.02501190732944525,0.06627607191424842,-0.16319198105793042,0.15326676695325145,0.1996649624289907,57.3186687515995,0.9981470043236566,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,55.0,0.2,0.2,0.3,0.2139083456857793,-1.2045056183891676,0.1440831695181477,0.020506106810614266,0.06738383075769194,-0.18513094481296566,0.11076541974833652,0.2139083456857793,56.622312639664955,0.9981470043236566,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,45.0,0.2,0.2,0.2,0.2069593366314742,-1.2057127081068797,0.1578845720846327,0.02235315758175016,0.06677580853232572,-0.17467863323854127,0.12796732586763873,0.2069593366314742,57.036327453467955,0.9975293390982087,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,55.0,0.2,0.1,0.2,0.2323524386637641,-1.2113119966966852,0.13655010391456512,0.01948995528141273,0.07096441500070506,-0.2048396076527279,0.09514739607612784,0.2323524386637641,56.4191074075867,0.9956763434218654,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,45.0,0.2,0.1,0.1,0.22167274081001592,-1.2138734644555793,0.14647936930881889,0.020828144319571695,0.06913037770487179,-0.19217932574883345,0.10837869390171968,0.22167274081001592,56.930597295036705,0.9962940086473132,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,35.0,0.2,0.2,0.1,0.20326586433700897,-1.2160237159100236,0.1829358907991192,0.025658545489446904,0.06760826400006059,-0.16503042611816654,0.1554776661067011,0.20326586433700897,57.95835241701935,0.9981470043236566,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,45.0,0.2,0.1,0.3,0.2106832123225643,-1.2166611503848568,0.1614893985655126,0.02283251337218406,0.06779613699375515,-0.1788210854064587,0.12768356326820166,0.2106832123225643,57.50415605269057,0.9981470043236566,0.546852429532334,0.06799580633944835,-0.6265673853758704
